"Has a translation","Heeft een vertaling"
"Missing translations cron enabled","Missende verstalingen crontaak ingeschakeld"
"Database Translations","Database vertalingen"
"Enable to gather all newly found existing translations into the database every night","Schakel in om elke nacht alle nieuw gevonden, bestaande vertalingen in de database te zetten"
"Enable to gather all newly found missing translations into the database every night,"Schakel in om elke nacht alle nieuw gevonden, missende vertalingen in de database te zetten"
"Existing translations cron enabled","Bestaande vertalingen crontaak ingeschakeld"
"Translate Missing String","Vertaal missende vertaling"
"Columns","Kolommen"
"Original String","Originele String"
"Translated String","Vertaalde String"
